ID,CONTRATO,COD_CANONICO,DESCRICAO_ORIGINAL,NOMENCLATURA_ORIGINAL,FAMILIA,EVENTO,GRANULARIDADE,CRITICIDADE,RESPONSAVEL,COMPETENCIA_ARQUIVO,COMPETENCIA_CORRIGIDA,PRAZO_ORIGINAL,PRAZO_ANCORA,PRAZO_TIPO_DIA,PRAZO_LIMITE,REPOSITORIO,PASTA,PERIODICIDADE,PREVISAO_ARQUIVO,FUNDAMENTO (preencher),DIVERGENCIAS
L001,BNB,OPE.RELATORIO_MEDICAO,Relatório de Faturamento,RELATORIO_DE_FATURAMENTO,Operação e medição,Mensal,Contrato,Bloqueante,OPERAÇÃO,Mês da Competência,Mês da competência,SOB FATURAMENTO,Ateste do cliente,Corrido,0,JIRA,,Mensalmente,Até último dia útil,,
L002,BNB,OPE.AUTORIZACAO_FATURAMENTO,Autorização de Faturamento,AUTORIZAÇÃO_DE_FATURAMENTO,Operação e medição,Mensal,Contrato,Bloqueante,OPERAÇÃO,Mês da Competência,Mês da competência,SOB FATURAMENTO,Ateste do cliente,Corrido,0,JIRA,,Mensalmente,Até último dia útil,,
L003,BNB,FIS.CARTA_ENTREGA_NF,Carta de Entrega da Nota Fiscal,CARTA_NOTA_FISCAL,Fiscal,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Mês da competência,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD/JIRA,OPERAÇÃO,Mensalmente,Edital,,
L004,BNB,FIS.NOTA_FISCAL,Nota Fiscal,NOTA _FISCAL,Fiscal,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Mês da competência,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD/JIRA,OPERAÇÃO,Mensalmente,Edital,,NOMENCLATURA com espaço/caractere irregular
L005,BNB,CER.CND_RFB,Certidão expedida pela Secretaria da Receita Federal do Brasil – RFB,CND_RFB,Certidões e regularidade,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Válida na data do faturamento,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD,CERTIDÕES,Mensalmente,Edital,,
L006,BNB,CER.CRF_FGTS,Certificado  de  Regularidade  do  Fundo  de  Garantia  por  Tempo  de  Serviço  –  FGTS,CRF_FGTS,Certidões e regularidade,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Válida na data do faturamento,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD,CERTIDÕES,Mensalmente,Edital,,
L007,BNB,CER.CNDT,Certidão   Negativa de   Débitos   Trabalhistas – CNDT,CNDT,Certidões e regularidade,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Válida na data do faturamento,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD,CERTIDÕES,Mensalmente,Edital,,
L008,BNB,CER.SICAF,Sistema de Cadastramento Unificado de Fornecedores - SICAF,SICAF,Certidões e regularidade,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Válida na data do faturamento,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD,CERTIDÕES,Mensalmente,Edital,,
L009,BNB,CER.CND_ESTADUAL,Certidão Positiva de Débitos Com Efeito de Negativa - GDF,CND_GDF,Certidões e regularidade,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Válida na data do faturamento,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD,CERTIDÕES,Mensalmente,Edital,,
L010,BNB,CER.CND_CIVEL_CRIMINAL,Certidão Negativa de Distribuição (Especial Ações Cíveis e Criminais),CND_CÍVEL_E_CRIMINAL,Certidões e regularidade,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Válida na data do faturamento,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD,CERTIDÕES,Mensalmente,Edital,,
