ID,Severidade,Achado,Evidência no arquivo,Impacto no faturamento,Ação recomendada
D01,Crítica,A nomenclatura não é chave confiável: 69 códigos para 51 tipos reais,"CND_CIVEL_E_CRIMINAL / CND_CÍVEL_E_CRIMINAL; RECIBO_DE_FERIAS / RECIBO_DE_FÉRIAS; COMPROVANTE_PG_RECSISÃO (erro de digitação); ""NOTA _FISCAL"" com espaço; GFD_GUIA_DO_FGTS / GFD-GUIA_DO_FGTS / GUIA_GFD / FGTS-DETALHE_DA_GUIA.","Qualquer varredura automática de pastas por nome de arquivo falha ou gera falso ""documento ausente"".","Adotar o catálogo canônico da aba CATALOGO_DOCUMENTOS como chave única, com os nomes atuais registrados como sinônimos (aliases) para reconhecimento do legado."
D02,Crítica,"Falta a dimensão ""evento"" (mensal, 13º, férias, rescisão, admissão)","TJ CE usa GFD_GUIA_DO_FGTS e DCTFWEB_DARF duas vezes — uma para a folha mensal e outra para o 13º — distinguíveis apenas pelo nome da pasta. SESCOOP usa GFD_GUIA_DO_FGTS para dois documentos diferentes (""Guia FGTS"" e ""FGTS Digital - Relatórios"").",O sistema não consegue saber qual documento satisfaz qual exigência; o 13º e a folha mensal competem pela mesma linha do checklist.,"Criar campo EVENTO. A chave da exigência passa a ser: contrato + tipo canônico + evento + competência (+ profissional, quando individual)."
D03,Crítica,Competência-referência incoerente entre contratos para o mesmo documento,"8 linhas divergentes. COMPROVANTE_PG_FGTS e COMPROVANTE_PG_INSS constam como ""Competência Anterior"" em BNB, CEF, DOCAS e SESCOOP, mas como ""Mês da Competência"" em TJ CE. GFD_GUIA_DO_FGTS consta como ""Mês da Competência"" em BNB e DOCAS.",O motor de conferência buscaria a guia da competência errada: cobra documento que ainda não existe ou aceita documento de mês indevido. Fonte direta de glosa.,"A defasagem é atributo do documento (obrigação legal), não do contrato. Fixar no catálogo: guia/DARF/comprovante de FGTS, INSS e IRRF = M-1. Corrigir as 8 linhas."
D04,Alta,Duplicidades e linhas concorrentes dentro do mesmo contrato,"9 grupos: DOCAS tem CRF_FGTS duas vezes; TJ CE tem recibo e comprovante de férias duplicados com grafias diferentes; CEF e TJ CE têm o comprovante de rescisão em duas linhas, em pastas diferentes (RESCISÃO e OPERAÇÃO).",Contagem de completude inflada e conferência em duplicidade pela equipe.,Consolidar; manter uma linha por (contrato + tipo + evento).
D05,Alta,Linhas compostas: uma linha descreve mais de um artefato,"""VALE TRANSPORTE E COMPROVANTE DE PAGAMENTO OU TERMO DE NÃO ADESÃO"" (3 artefatos + condicional); ""CÓPIA DA DCTFWEB COMPLETO, RESPECTIVO DARF E COMPROVANTE DE PAGAMENTO"" (3 artefatos); ""VALE ALIMENTAÇÃO E COMPROVANTE DE PAGAMENTO"".",Não é possível marcar entrega parcial nem saber o que exatamente está faltando.,"Quebrar em uma linha por artefato e, para os condicionais, criar regra ""A OU B"" explícita."
D06,Alta,"Prazo em texto livre, não computável","17 variantes para cerca de 10 regras: ""ATÉ DIA 21"" / ""DIA 21"" / ""ATÉ O DIA 21""; ""ATÉ O 5º DIA ÚTIL"" / ""5º DIA UTIL""; ""10º dia útil"" / ""Até o 9º dia útil"".","Impossível calcular atraso, disparar alerta automático ou medir SLA por área.",Estruturar em: âncora (início da competência / ateste / evento) + tipo de dia (útil/corrido) + limite. Já pré-preenchido na MATRIZ_EXIGIBILIDADE.
D07,Alta,Campos obrigatórios em branco no bloco mais recente,"PREVISÃO em branco em 28 linhas; periodicidade em branco em 26; 3 linhas sem contrato de origem (COMPROVANTE_PG_VT, COMPROVANTE_PG_VA_VR e XML) e sem descrição.",As linhas órfãs se perdem em qualquer exportação; hoje só fazem sentido por herança visual da célula mesclada na planilha.,Completar antes da carga inicial. Tornar os campos obrigatórios no cadastro do sistema.
D08,Alta,Seis nomes diferentes para o artefato que dispara o relógio D+3,"AUTORIZAÇÃO_DE_FATURAMENTO, E-MAIL_AUTORIZAÇÃO_EMISSÃO_NF (duas grafias), TERMO_DE_RECEBIMENTO, TRD, além de relatórios/planilhas de medição com quatro nomes.","A política institucional fixa ""NF em até D+3 após o ateste formal"", mas não existe um evento único e datado de ateste no checklist. O KPI não é apurável de forma objetiva.","Criar o evento ""ATESTE_REGISTRADO"" com data, forma (sistema/e-mail/despacho) e evidência anexa. É o marco zero do D+3 e a base de todos os indicadores da política."
D09,Alta,Ausência de encargos e benefícios em três contratos,"TERRACAP, Telebrás e SEFAZ RS não têm nenhuma linha de folha, FGTS, INSS ou benefícios — apenas certidões e documentos de operação.","Se esses contratos envolvem alocação de pessoas, há exposição direta a responsabilidade subsidiária e a glosa por falta de comprovação.","Confirmar a natureza contratual (entrega de produto x posto de trabalho). Se houver alocação, a matriz está incompleta — prioridade máxima."
D10,Média,A tríade do plano de saúde não está completa em nenhum contrato,"Relação do plano: DOCAS, SESCOOP e TJ CE. Comprovante de pagamento do plano: apenas SESCOOP. Nenhum contrato exige explicitamente o cruzamento com o desconto na folha.",Exatamente o cenário de conciliação descrito pela DAF hoje não é exigível nem verificável em 7 dos 8 contratos.,"Padronizar a tríade (relação + desconto em folha + comprovante de pagamento) como controle interno, mesmo onde o edital não exige."
